standard_number,title,scope_description,category,latest_version,year_published,source,needs_review,review_reason
IS 2534,Carbide Tipped Dead Centres,Carbide Tipped Dead Centres,Mechanical,,1999,archive_org_bis,True,scope_too_short (4 words)
IS 2535-1,Cylindrical gears for general and heavy engineering ; Part 1 Standard basic rack tooth profile,Cylindrical gears for general and heavy engineering ; Part 1 Standard basic rack tooth profile,Mechanical,,2004,archive_org_bis,False,
IS 2425,Test chart for pillar type vertical drilling machines,Test chart for pillar type vertical drilling machines,Mechanical,,1982,archive_org_bis,True,scope_too_short (8 words)
IS 12246,"Irons, Pyro-puncture with Copper Needles","Irons, Pyro-puncture with Copper Needles",Metallurgy,,1988,archive_org_bis,True,scope_too_short (5 words)
IS 2726,Code of practice for fire safety of industrial buildings: Cotton ginning and pressing (including cotton seed delintering)factories,Code of practice for fire safety of industrial buildings: Cotton ginning and pressing (including cotton seed delintering)factories,Cement & Construction,,1988,archive_org_bis,False,
IS 2636,Wing Nuts,Wing Nuts,Mechanical,,1972,archive_org_bis,True,scope_too_short (2 words)
IS 260,"Aluminium sulphate, non-ferric","Aluminium sulphate, non-ferric",Chemicals,,2001,archive_org_bis,True,scope_too_short (3 words)
IS 26002 :,ASSURANCE ENGAGEMENT STANDARD PART 2 CONDUCTING ASSURANCE ENGAGEMENTS FOR ALL MATTERS OTHER THAN STATUTORY FINANCIAL INFORMATION â”€ GUIDANCE,ASSURANCE ENGAGEMENT STANDARD PART 2 CONDUCTING ASSURANCE ENGAGEMENTS FOR ALL MATTERS OTHER THAN STATUTORY FINANCIAL INFORMATION â”€ GUIDANCE,Uncategorized,Amendments: 0,2022,archive_org_bis,False,
IS 2629,Recommended Practice for Hot-Dip Galvanizing of Iron and Steel,Recommended Practice for Hot-Dip Galvanizing of Iron and Steel,Mechanical,Amendments: 3,1985,archive_org_bis,True,scope_too_short (9 words)
IS 2759,Higher tensile steel point hooks for use with wire rope thimbles,Higher tensile steel point hooks for use with wire rope thimbles,Mechanical,,1969,archive_org_bis,False,
