standard_number,standard_number_raw,is_number,part,title,scope_description,scope_source,scope_usable,category,latest_version,version_source,year_published,certification_type,mandatory,certification_source,qco_reference,certification_basis,certification_reference,source_url,confidence,review_severity,amendment_count,source,review_reason
IS 13468,IS 13468,13468,,Apparatus for determination of dry density of soil by core cutter method-,"1.1 This standard covers the details of the cylindrical core cutter, steel dolly and steel rammer used for the determination ofinplace dry density of fine grained natural or compac- ted soils free from aggregates, using a core cutter.",scraped,True,Cement & Construction,IS 13468:1992,derived_from_year,1992,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13468.1992,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13602:2013,IS 13602 : 2013,13602,,Automotive vehicles - Instrument systems - Temperature gauges mechanical types,This standard specifies requirements for tem- perature gauges of mechanical type used for indicating lubricating oil or cooling water tern* perature of automotive engines.,scraped,True,Mechanical,IS 13602:2019,derived_from_year,2019,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13602.1992,medium,minor,0,archive_org_bis;archive_org_scope,certification_not_determined
IS 13609,IS 13609,13609,,Pallets - Quality of timber - Guidelines,"1.1 This standard provides guidelines for the quality of timber elements used in wood pallets. 1.2 The use of these guidelines when construct- ing timber pallets will enhance the uniformity of expected pallet performance. They will also help to control the spread of insects and plant diseases, as well as reduce adverse property changes caused by natural wood variables.",scraped,True,Mechanical,IS 13609:1992,derived_from_year,1992,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13609.1992,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13612-1,IS 13612-1,13612,1,"Modular co-ordination for normal brickwork - Recommendations, Part 1: Burnt clay bricks","1.1 This standard deals with the application of modular co-ordination in brickwork using modular and non-modular bricks. 1.2 This standard covers recommendations for achieving modular co-ordination in brickwork using modular and non-modular brick sizes, and preferred horizontal and vertical controlling dimensions in all types of buildings. This is intended to be a working reference for the dimensional control of all types of brickwork.",scraped,True,Cement & Construction,IS 13612-1:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13612.1.1993,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13622,IS 13622,13622,,Indian timbers for furnitures and cabinets- Classification,"This standard covers the general classification of Indian Timber species suitable for furniture and cabinets. It also lays down the general requirements of quality, moisture content and preservative treatment for the timber.",scraped,True,Cement & Construction,IS 13622:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13622.1993,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4352,IS 4352,4352,,"Pork Luncheon Meat, Canned","1*1 This standard prescribes the requirements and the methods of test fbr pork luncheon meat, canned. ♦Rules for rounding off numerical values ( rtvutd). 3 IS s 4352 -1967",scraped,True,Food & Agriculture,IS 4352:1967,derived_from_year,1967,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4352.1967,medium,minor,2,archive_org_bis;archive_org_scope,certification_not_determined
IS 4358,IS 4358,4358,,Sickles,"This standard specifies the requirements for plain and serrated blade sickles for harvesting of fodder, grasses, cereal crops, etc.",scraped,True,Food & Agriculture,IS 4358:1996,derived_from_year,1996,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4358.1996,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4366-1,IS 4366-1,4366,1,"Agricultural Tillage Discs, Part 1: Concave Type","l.l This standard ( Part 1 ) specifies the materials, dimensions and other requirements for agricultural tillage discs, concave type.",scraped,True,Food & Agriculture,IS 4366-1:1985,derived_from_year,1985,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4366.1.1985,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4375:2019,IS 4375 : 2019,4375,,Specification for Men’s Cotton Knitted Sports Shirt / T-Shirt ( Second Revision ),"1.1 This standard prescribes the requirements of three types of cotton plain or interlocks knitted sports shirts/ t-shirt. 1.2 This standard does not specify the general appearance, lustre, feel and shade of the sports shirts/t- shirt (see also 6.4).",scraped,True,Textiles,IS 4375:2019,derived_from_year,2019,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4375.2019,medium,minor,0,archive_org_bis;archive_org_scope,certification_not_determined
IS 13630,IS 13630 :,13630,,"Ceramic Tiles — Methods of Test, Sampling and Basis for Acceptance Part 16 Determination of Lead and Cadmium Given Off by Glazed Tiles","1.1 This standard (Part 8) covers a method of test for determining the stain and chemical resistance of the proper surface of all glazed ceramic tiles. 1.2 The method is applicable to all glazed ceramic tiles, except that the pencil test for chemical resistance is only applied to glazes from which pencil marks can be removed by means of a wet cloth. 1.3 Where the pencil test is not applicable, the chemical resistance of glazes shall be classified by the change in appearance resulting from chemical action. 1.4 The stain test is not applicable to tiles described as part glazed.",scraped,True,Cement & Construction,IS 13630:2019,derived_from_year,2019,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13630.8.2019,medium,minor,0,archive_org_bis;archive_org_scope,certification_not_determined
IS 1364-3,IS 1364-3,1364,3,"Hexagon Head Bolts, Screws and Nuts of Product Grades A and B, Part 3: Hexagon Nuts, Style 1 (Size Range M 1.6 to M 64)","This International Standard specifies the characteristics of hexagon nuts, style 1, with threads from M1.6 up to including M64, with product grade A for threads ^ ^ M16and product grade B for threads ^ > M16. If, in special cases, specifications other than those listed in this International Standard are required, they should be selected from existing International Standards, for exannple ISO 724, ISO 898-2, ISO 965-1, ISO 3506-2 and ISO 4759-1. NOTE For hexagon nuts style 2, see ISO 4033. 2 Normative references The following nornnative documents contain provisions which, through reference in this text, constitute provisions of this International Standard. For dated references, subsequent amendments to, or revisions of, any of these publications do not apply. However, parties to agreements based on this International Standard are encouraged to investigate the possibility of applying the most recent editions of the normative documents indicated below. For undated references, the latest edition of the normative document referred to applies. Members of ISO and lEC maintain registers of currently valid International Standards. ISO 225:1 983, Fasteners — Bolts, screws, studs and nuts — Symbols and designations of dimensions. ISO 724:1 993, ISO general-purpose metric screw threads — Basic dimensions. ISO 898-2:1992, Mechanical properties of fasteners— Part 2: Nuts with specified proof load values— Coarse thread. ISO 965-1 :1 998, ISO general purpose metric screw threads — Tolerances — Part 1: Principles and basic data. ISO 3269: — ^\ Fasteners — Acceptance inspection. ISO 3506-2:1 997, Mechanical properties of corrosion-resistant stainless steel fasteners — Part 2: Nuts. ISO 4042:1 999, Fasteners — Electroplat",scraped,True,Mechanical,IS 1364-3:2002,derived_from_year,2002,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1364.3.2002,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13782,IS 13782,13782,,Permeable sintered metal materials - Determination of fluid permeability,Permeable sintered metal materials - Determination of fluid permeability,title_fallback,False,Mechanical,IS 13782:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13782.1993,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (9 words);certification_not_determined;missing_amendment_count
IS 13799,IS 13799,13799,,Polyurethane Base Surfacer (Two Pack) for Exterior Painting of Railway Coaches,"1,1 This standard prescribes the requirements and methods of sampling and test for two pack polyurethane surfacer intended to be used for the protection of exterior of railway coaches, diesel and electric locomotive against atmospheric corrosion. 1.1.1 It is primarily suitable for application by spraying. It may also be applied by brush for touching-up small areas. 1.1.2 The material is intended to be used as a surfacer in polyurethane paint system over a primed surface and a two component unsaturated polyester based polyurethane knifing filler for the protection of exterior of railway coaches, etc. The material shall be used after the surface imperfection are well covered with a two-component polyurethane knifing filler. The su-T^cer is used with the object of gettii^ a smooth, uniforn. a nd non absorbent base for the finishing enamel.",scraped,True,Chemicals,IS 13799:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13799.1993,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13803,IS 13803,13803,,Sintered metal materials and hardmetals - Determination of young modulus,Sintered metal materials and hardmetals - Determination of young modulus,title_fallback,False,Mechanical,IS 13803:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13803.1993,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (10 words);certification_not_determined;missing_amendment_count
IS 1381-2,IS 1381-2,1381,2,"Boiling flasks, Part 2: Flasks with conical ground socket","This International Standard specifies requirements for an internationally acceptable series of twiling flasks with conical ground joints for general laboratory purposes. 2 Normative references The following referenced docunnents are indispensable for the application of this document. For dated references, only the edition cited applies. For undated references, the latest edition of the referenced document (including any amendments) applies. ISO 383. Laboratory glassware ~ interchangeable conical ground joints ISO 1773, Laboratory glassware — Narrow-necked boiling flasks ISO 3585. Borosilicate glass 3.3 — Properties 3 Types Three types of boiling flasks with conical ground joints are specified: a) conical flasks; b) flat-bottom flasks; c) round-bottom flasks. 4 Series of capacities Two series are specified for each type of boiling flask with conical ground joints. The series differ in height and in selection of joint sizes. It is recommended that, in national standards, one of these series is chosen. 5 Material Boiling flasks shall be made from borosilicate glass 3.3 in accordance with ISO 3585, and shall be free from visible defects which might affect performance and free from any internal stress which would impair the perfonmance of the flask. 6 Dimensions The external diameter of body of round-bottom flasks and flat-bottom flasks, the external diameter of body at the widest point of conical flasks and the minimum wall thickness shall comply with the dimensions specified in ISO 1773. The nominal overall height of the tx)iling flasks with conical ground joints shall be as specified in Tables 1 to 3. IS1381(Part2):200a ISO 4797 : 2004 7 Ground glass joints The sizes of the conical joints fitted to the boiling flasks shall be as given in Tables 1 to 3. The joints shall comply with the requirements of ISO 383, kB series. 8 Marking The following inscriptions shall be permanently and legibly marked on all laboratory",scraped,True,Chemicals,IS 1381-2:2008,derived_from_year,2008,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1381.2.2008,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13889,IS 13889,13889,,Wheelchairs - Type Classification Based on Appearance Characteristics,Wheelchairs - Type Classification Based on Appearance Characteristics,title_fallback,False,Safety & PPE,IS 13889:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13889.1993,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (8 words);certification_not_determined;missing_amendment_count
IS 13891,IS 13891,13891,,Quality tolerances for fresh water for fish culture,This standard prescribes the tolerance limits for fresh water for fish culture.,scraped,False,Chemicals,IS 13891:1994,derived_from_year,1994,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13891.1994,medium,blocker,,archive_org_bis;archive_org_scope,scope_too_short (12 words);certification_not_determined;missing_amendment_count
IS 13904,IS 13904,13904,,"Textiles - Serge, drab, polyester-wool blended","1.1 This standard prescribes the constructional particulars and other requirements of serge, drab, polyester-wool blended intended for use as dress material. 1*2 This standard does not specify the indetermi- able characteristics like general appearance, feel, finish and shade of cloth ( see also 1 ).",scraped,True,Textiles,IS 13904:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13904.1993,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13916,IS 13916,13916,,Code of practice for installation of glass fibre reinforced plastic (GRP) piping system,"1.1 This standard describes procedure of laying GRP piping system installation and includes requirements for trenching, handling, jointing, compaction of back filling and post installation hydrostatic test. 1.1.1 This code does not cover installation that require special attention, techniques and materials like: a) Pipe through rigid walls, b) Subaqueous piping, and c) Plant or pumping station piping. NOTES 1 Pipes, fittings and rubber gaskets to be used for instal- lation of piping system as per this code shall conform to the following standards: a) The GRP pipes, jointing and fittings shall conform to IS 12709 : 1993. b) The Rubber gasket shall conform to IS 5382 : 1985. 2 Appropriate stiffness class of the GRP pipe ( see IS 12709 : 1994 ) shall be selected to withstand the overbur- den (dead load), live load and vacuum conditions, if any, considering site conditions.",scraped,True,Cement & Construction,IS 13916:1994,derived_from_year,1994,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13916.1994,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4682-7,IS 4682-7,4682,7,"Code of Practice for Lining of Vessels and Equipment for Chemical Processes, Part VII: Corrosion and Heat Resistant Metals","1.1 This standard (Part VII) lays down recommendations on the design of corrosion and heat resistant metal linings, method of application of linings, inspection and testing. 1,1.1 This does not cover deposition of metal by electrolysis* spraying or by explosion.",scraped,True,Mechanical,IS 4682-7:1974,derived_from_year,1974,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4682.7.1974,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13879,IS 13879,13879,,Textile machinery and accessories - Numbering of heald frames in a loom,Textile machinery and accessories - Numbering of heald frames in a loom,title_fallback,False,Textiles,IS 13879:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13879.1993,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (12 words);certification_not_determined;missing_amendment_count
IS 4561-3,IS 4561-3,4561,3,"Oil Cans, Part III: Feeding Oil Cans",1.1 This standard ( Part III ) specifies the requirements for feeding oil cans for general purposes. ♦Rules for rounding off numerical values ( revised)^ 2 IS: 4561 (Part III) -1968,scraped,True,Mechanical,IS 4561-3:1968,derived_from_year,1968,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4561.3.1968,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4561-5,IS 4561-5,4561,5,"Oil Cans, Part V: Lever Type Oil Cans",1.1 This standard ( Part III ) specifies the requirements for feeding oil cans for general purposes. ♦Rules for rounding off numerical values ( revised)^ 2 IS: 4561 (Part III) -1968,scraped,True,Mechanical,IS 4561-5:1968,derived_from_year,1968,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4561.3.1968,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4570-13-1,IS 4570-13-1,4570,13-1,"Crystal Unit Holders, Part 13: Quartz Crystal Unit Holder Outline for Automatic Handling, Section 1: Metal, Sealed, Two Pin Crystal Unit Holder Type CU 01","This standard (Part 6) covers metal, solder-sealed, two pin crystal unit holder type CX intended for use in electronic equipment.",scraped,True,Electronics,IS 4570-13-1:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4570.6.1999,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 4007-2-1,IS 4007-2-1,4007,2-1,"Terminals for Electronic Equipment, Part 2: Detail Terminals, Section 1: Terminal, Insulated, with Insulated Captive Screw Cap, Type TSC 1","1.1 This standard ( Part I ) covers general requirements and tests for terminals ( sealed and non-sealed ) for use in electronics and telecom- munication equipment. 1.2 This standard does not apply to system terminals, such as, transmitter terminals and receiver terminals.",scraped,True,Electronics,IS 4007-2-1:1983,derived_from_year,1983,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4007.1.1982,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4007-2-2,IS 4007-2-2,4007,2-2,"Terminals for electronic equipment, Part 2: Details specification for terminals, Section 2: Terminal non-insulated, with insulated captive screw cap, type TSC 2","1.1 This standard ( Part I ) covers general requirements and tests for terminals ( sealed and non-sealed ) for use in electronics and telecom- munication equipment. 1.2 This standard does not apply to system terminals, such as, transmitter terminals and receiver terminals.",scraped,True,Electronics,IS 4007-2-2:1983,derived_from_year,1983,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4007.1.1982,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4007-2-3,IS 4007-2-3,4007,2-3,"Terminals for Electronic Equipment, Part 2: Detail Terminals, Section 3: Terminal, Non-insulated, with Insulated Captive Screw cap, Type TSC 3","1.1 This standard ( Part I ) covers general requirements and tests for terminals ( sealed and non-sealed ) for use in electronics and telecom- munication equipment. 1.2 This standard does not apply to system terminals, such as, transmitter terminals and receiver terminals.",scraped,True,Electronics,IS 4007-2-3:1983,derived_from_year,1983,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4007.1.1982,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4011,IS 4011,4011,,Methods of test for safety evaluation of cosmetics,This standard covers methods of test for safety evaluation of cosmetics.,scraped,False,Petroleum,IS 4011:1997,derived_from_year,1997,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4011.1997,medium,blocker,2,archive_org_bis;archive_org_scope,scope_too_short (11 words);certification_not_determined
IS 4020-1,IS 4020-1,4020,1,Door Shutters - Methods of Tests,Door Shutters - Methods of Tests,title_fallback,False,Cement & Construction,IS 4020-1:1998,derived_from_year,1998,Not determined,,not_assessed,,,,,low,blocker,2,archive_org_bis,scope_equals_title;scope_too_short (6 words);certification_not_determined;missing_source_url
IS 4022,IS 4022,4022,,"Indexable hardmetal (carbide) inserts with rounded corners, without fixing hole - Dimensions","Indexable hardmetal (carbide) inserts with rounded corners, without fixing hole - Dimensions",title_fallback,False,Mechanical,IS 4022:1996,derived_from_year,1996,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4022.1996,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (12 words);certification_not_determined;missing_amendment_count
IS 4025,IS 4025,4025,,Rolling bearings -Gauging practice,"This standard covers methods for measurement of dimensional accuracy, running accuracy and radial internal clearance of rolling bearings. 1.1 Various gauging methods are in use to measure the dimensional and running accuracy of the bearings. The methods which commonly used by bearing users and manufacturers and which provide an accuracy sufficient for practical purposes have been covered.",scraped,True,Mechanical,IS 4025:2006,derived_from_year,2006,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4025.2006,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4121,IS 4121,4121,,Method of test for determination of water transmission rate by capillary action through natural building stones,1.1 This standard lays down the procedure for determination of rate of water transmission rate by capillary action through natural building stones. ♦Rulci for rounding off numerical values ( revised ). 3 18:4121-1967,scraped,True,Cement & Construction,IS 4121:1967,derived_from_year,1967,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4121.1967,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 4142,IS 4142,4142,,Discus,"1*1 This standard lays down the material, dimensional and construc- tional requirements offtwo sizes of discus ( see 3.1 ).",scraped,True,Petroleum,IS 4142:1967,derived_from_year,1967,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4142.1967,medium,minor,3,archive_org_bis;archive_org_scope,certification_not_determined
IS 14181-2,IS 14181-2,14181,2,"Synthetic (Plastic) Slide Fasteners - Special Purpose, Part 2: Test and Measurement Methods","Synthetic (Plastic) Slide Fasteners - Special Purpose, Part 2: Test and Measurement Methods",title_fallback,False,Mechanical,IS 14181-2:2002,derived_from_year,2002,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.14181.2.2002,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (13 words);certification_not_determined;missing_amendment_count
IS 4402,IS 4402,4402,,Textiles - Fishing Nets - Netting - Basic Terms and Definitions,"This European Standard gives the principal terms relating to netting for fishing nets, together with their definitions or, in some cases, the method of expressing dimensions. 2 Normative references This European Standard incorporates by dated or undated reference, provisions from other publications. These normative references are cited at the appropriate places in the text and the publications are listed hereafter. For dated references, subsequent amendments to or revisions of any of these publications apply to this European Standard only when incorporated in it by amendment or revision. For undated references the latest edition of the publication referred to applies (including amendments). EN ISO 1 530:2003, Fishing nets — Description and designation of knotted netting (ISO 1530:2002). ISO 858, Fishing nets — Designation of netting yarns in the Tex System. ISO 1 139, Textiles — Designation of yarns. 3 Terms and definitions For the purposes of this European Standard the following terms and definitions apply. 3.1 netting a meshed structure of indefinite shape and size composed of one yarn or of one or more systems of yarns interlaced or joined, or obtained by other means, for example by stamping or cutting from sheet material or by extrusion 3.2 netting yarn all types of yarns 1 ) suitable for the manufacture of netting NOTE 1 The principal types of netting yarns are twines. The latter are defined below. The size of netting yarn is indicated by its linear density expressed in the unit tex of the Tex system in accordance with ISO 858. The size of the final product is expressed by the ""resultant linear density"" in accordance with ISO 1139. NOTE 2 The resultant linear density is the reciprocal of ""runnage"" which expresses the length per unit mass, in metres per gram or per kilogram, for example. 1) The definition in ISO 1139 denotes ""yarn"" folded yarn and cabled yarn as a general term embracing a single yarn (includinq mono",scraped,True,Textiles,IS 4402:2005,derived_from_year,2005,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4402.2005,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 514,IS 514,514,,Textiles - Mercerized cotton fabrics for covering aircrafts and gliders,"1.1 This standard prescribss the requirements ■of four grades of mercerized cotton fabrics for covering aircraft and glider surfaces such as wings, fuselage, ailerons, elevators and other airfoil surfaces:",scraped,True,Textiles,IS 514:1992,derived_from_year,1992,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.514.1992,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 1599:2012,IS 1599:2012,1599,,Metallic Materials — Bend Test,"1*1 This standard specifies the method of conducting bend test for determining the ability of metallic materials to undergo plastic defor- mation in bending. It applies to the bend test of test pieces taken from metallic products as specified in the relevant product standard. 1.2 This standard is not applicable to certain materials and/or products, for example tubes in full section or welded joints, for which other standards exist.",scraped,True,Metallurgy,IS 1599:2012,derived_from_year,2012,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1599.2012,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 228,IS 228,228,,Methods for Chemical Analysis of Steels (Relevant Parts),This standard (Part 20) describes the method for determination of carbon in the range from 0.005 to 2 percent and sulphur from 0.001 to 0.35 percent in steel.,scraped,True,Metallurgy,IS 228:2003,derived_from_year,2003,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.228.20.2003,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 2212:1991,IS 2212:1991,2212,,Code of Practice for Brickwork,1.1 This standard covers the construction of brick masonry in general and the erection of brick walls in particular. 1.2 Only masonry with clay bricks is dealt with in this standard. Use of unburnt bricks ( kachcha bricks ) and use of mud mortar are not specifically covered in this standard.,scraped,True,Cement & Construction,IS 2212:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2212.1991,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 7692:1975,IS 7692:1975,7692,,Specification for Wooden Headforms for Testing of Helmets,"This standard specifies the size and constructional details of headforms for use in testing of protective helmets (all kinds). Details of headform below the reference plane are included as an optional require- ment for testing Industrial Safety Helmets, Firemen's helmets, 3and Civil Defence helmets, but for testing, of motorcycle riders' helmets, the headform shall con- form to the details as per this standard up to line HH' in Fig.l or up to the depth of the helmet under lest.",scraped,True,Safety & PPE,IS 7692:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.7692.1993,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 4905:2015,IS 4905:2015,4905,,Random Sampling and Randomization Procedures,1.1 This standard lays down general procedures for the selection of items from a lot on an objective basis by using random sampling techniques. It also describes the methods of calculation of simple estimates like mean and proportion of defective from the sample data.,scraped,True,Uncategorized,IS 4905:1968,derived_from_year,1968,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.4905.1968,medium,blocker,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;category_unresolved;certification_not_determined;missing_amendment_count
IS 15575-1:2016,IS 15575 (Part 1) : 2016,15575,1,Electroacoustics — Sound Level Meters: Part 1 Specifications,"1.1 This standard gives electroacoustical performance specifications for three kinds of sound measuring instruments: - a conventional sound level meter that measures exponential time-weighted sound level; - an integrating-averaging sound level meter that measures time-average sound level; and - an integrating sound level meter that measures sound exposure level. A single instrument may make any, or all, of the three kinds of measurements. Additional performance specifications are given for the measurement of maximum time-weighted sound level and peak C sound level. Frequency-weighting A is mandatory for all sound level meters specified in this standard. 1.2 Sound level meters conforming to the requirements of thi^s standard have a specified frequency response for sound incident on the microphone from one principal direction in an acoustic free field or from random directions. 1.3 Sound level meters specified in this standard are intended to measure sounds generally in the range of human hearing. NOTE For measurement of audible sound in the presence of ultrasound, the AU weighting, specified in lEC 61012 [1], may be applied. ""I 1.4 Two performance categories, class 1 and class 2, are specified in this standard. In general, specifications for class 1 and class 2 sound level meters have the same design goals and differ mainly in the tolerance limits and the range of operational temperatures. Tolerance limits for class 2 specifications are greater than, or equal to,*those for class 1 specifications. 1.5 This standard is applicable to a range of designs for sound level meters. A sound level meter may be a self-contained hand-held instrument with an attached microphone and a built- in display device. A",scraped,True,Electronics,IS 15575-1:2005,derived_from_year,2005,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.15575.1.2005,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 9973:1981,IS 9973:1981,9973,,Specification for Visors for Vehicular Helmets,"1.1 This standard covers the requirements in regard to the material, con- struction, workmanship and the performance test for the visor used in motor cycle and scooter helmets. This standard is an adjunct to IS : 415 ^ 1982*. Note — If the visors are manufactured separately, these should match to the shape as specified.",scraped,True,Safety & PPE,IS 9973:1981,derived_from_year,1981,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.9973.1981,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
IS 732:1989,IS 732:1989,732,,Code of Practice for Electrical Wiring Installations,"1.1 This code covers the essential requirements and precautions regarding wiring installations for ensuring satisfactory and reliable service and safety from all possible hazards from the use of electricity. 1.2 This code applies to the design, selection, erection and inspection and testing of wiring installations whether permanent or temporary, in and about buildings. 1.3 It relates generally to all wiring installations in non-industrial and industrial locations, whe- ther the electric supply is derived from an external source or from a private generating plant. 1.4 Installations utilizing the following nominal voltage ranges are dealt with in this code: a) voltages normally not exceeding 50 V ac or 120 V dc whether between conductors or to earth. b) voltages normally exceeding extra-low voltage but not exceeding 1 000 V ac or 1 500 V dc between conductors or 600 V ac or 900 V dc between conductors and earth. 1.5 This code covers all general guidelines appli- cable to installations operating within the ranges given in 1.4. Supplementary or additional pro- visions may be necessary to be complied with in respect of specific occupancies depending on their nature. For the purposes of guidelines on indi- vidual occupancies reference may be National Electrical Code ( SP : 30-1985 ). 1.6 This code is not applicable to the following: a) Systems for distribution of energy to the public, or to power generation and trans- mission for such systems. b) Wiring installations in special locations- such as mines or other areas where potenti- ally explosive atmosphere exists. c) Lightning conductors, telecommunications and alarm systems. d) Traction installations, motor vehicles, ins- tallations on board ships, aircraft or offshore installations. 1.7 This code also does not apply to matters concerning specifications of individual items of equipment and does not deal with requirements for the construction of prefabricated assemblies of electrical equipment. SECTION 1",scraped,True,Electrical,IS 732:1989,derived_from_year,1989,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.732.1989,medium,minor,,allied_standards_mapping;archive_org_scope,ingested_from_allied_mapping;certification_not_determined;missing_amendment_count
